Year,Level of institution,Type of aid awarded,Family income level,Public Average cost of attendance,Public Average grant/scholarship aid,Public Net price,Private Nonprofit Average cost of attendance,Private Nonprofit Average grant/scholarship aid,Private Nonprofit Net price,Private For-profit Average cost of attendance,Private For-profit Average grant/scholarship aid,Private For-profit Net price
20-21,2-year,Students awarded any grant aid,All family income levels,13500.316239319998,5443.3614163600005,8056.95482295,27263.333333329996,7515.790123460001,19747.543209879997,27827.540540539998,6140.73648649,21686.80405405
20-21,2-year,Students awarded Title IV aid,All family income levels,13702.372860639998,6195.875305619999,7506.497555009999,27107.1875,6985.762500000001,20121.425000000003,27618.312925169997,5433.26530612,22185.04761905
20-21,2-year,Students awarded Title IV aid,"$0-30,000",13702.372860639998,7367.77941176,6334.5934488699995,27107.1875,8939.97297297,18167.214527029995,27618.312925169997,6379.29655172,21239.01637345
20-21,2-year,Students awarded Title IV aid,"$30,001-48,000",13702.372860639998,6757.696406440001,6944.67645419,27107.1875,8002.157894739999,19105.029605260002,27618.312925169997,5866.791666670001,21751.521258499997
20-21,2-year,Students awarded Title IV aid,"$48,001-75,000",13702.372860639998,4679.246575339999,9023.12628529,27107.1875,6559.1206896600015,20548.066810340002,27618.312925169997,4150.88679245,23467.426132720007
20-21,2-year,Students awarded Title IV aid,"$75,001-110,000",13702.372860639998,2637.05787349,11065.31498715,27107.1875,4851.270833329999,22255.916666669997,27618.312925169997,1440.5,26177.812925169997
20-21,2-year,Students awarded Title IV aid,"$110,001 and more",13702.372860639998,1427.9048442899998,12274.46801635,27107.1875,3322.2058823499997,23784.981617650003,27618.312925169997,835.875,26782.43792517
20-21,Less-than-2-year,Students awarded any grant aid,All family income levels,19432.2,5639.533333329999,13792.666666669998,25154.25,5793.5,19360.75,32544.9,6080.6,26464.3
20-21,Less-than-2-year,Students awarded Title IV aid,All family income levels,19694.93333333,5416.333333329999,14278.6,25154.25,5910.25,19244,32505.2,5597.6,26907.6
20-21,Less-than-2-year,Students awarded Title IV aid,"$0-30,000",19694.93333333,6125.42857143,13569.504761900002,25154.25,6114.666666670002,19039.58333333,32505.2,5996.6500000000005,26508.55
