Year,Level of institution,Control of institution,Gender,All students,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian or Other Pacific Islander,White,Two or more races,Race/ethnicity unknown,Nonresident
18-19,2-year institutions (cohort year 2016),Public,Women,30.7,23.8,41.2,21.6,28.5,27.9,34.1,25.5,26.9,38.30000000000001
18-19,2-year institutions (cohort year 2016),Private nonprofit,Total,54.9,36.7,80,42.1,68.7,43.4,59.5,46.5,54.1,71.2
18-19,2-year institutions (cohort year 2016),Private nonprofit,Men,56.5,30.4,83.3,40.4,66.5,16.7,63.3,44.5,49.5,67.7
18-19,2-year institutions (cohort year 2016),Private nonprofit,Women,54.2,39.80000000000001,78.5,42.7,70.1,51.2,57.4,47.4,56.2,73.7
18-19,2-year institutions (cohort year 2016),Private for-profit,Total,62.1,60.4,78,50.5,66.9,66.4,66,59.7,61.2,65.8
18-19,2-year institutions (cohort year 2016),Private for-profit,Men,62.2,61.1,76.4,49.7,65.5,63.2,67,59.4,61.5,73.4
18-19,2-year institutions (cohort year 2016),Private for-profit,Women,62,59.9,78.9,51,67.8,68.3,65.1,60,61.1,59.3
18-19,Less-than-2-year institutions (cohort year 2016),Total,Total,68.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
18-19,Less-than-2-year institutions (cohort year 2016),Public,Total,73.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
18-19,Less-than-2-year institutions (cohort year 2016),Private nonprofit,Total,72.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
18-19,Less-than-2-year institutions (cohort year 2016),Private for-profit,Total,67.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
19-20,All 4-year institutions (cohort year 2014)2,Total,Total,60.1,36.2,74.7,40.5,53,47.6,64.5,55.9,48.2,70.1
19-20,All 4-year institutions (cohort year 2014)2,Total,Men,56.7,33.1,71.2,34.80000000000001,48.3,44.9,61.3,52.2,45.7,65.5
19-20,All 4-year institutions (cohort year 2014)2,Total,Women,62.9,38.6,77.9,44.8,56.6,49.8,67.3,58.8,50.4,75.8
19-20,All 4-year institutions (cohort year 2014)2,Public,Total,58.5,33.5,72.6,40.7,50.5,45.7,62.7,53.4,55.1,67.1
19-20,All 4-year institutions (cohort year 2014)2,Public,Men,55.1,30.8,68.9,34.5,45.4,41.8,59.4,49.5,51.6,63
19-20,All 4-year institutions (cohort year 2014)2,Public,Women,61.5,35.7,76.2,45.1,54.5,49.2,65.5,56.5,58.6,72.8
19-20,All 4-year institutions (cohort year 2014)2,Private nonprofit,Total,66.9,44.9,81.4,44.6,62.9,58,70.6,64.7,54.9,74.9
19-20,All 4-year institutions (cohort year 2014)2,Private nonprofit,Men,63.2,40.80000000000001,79.6,38.2,59.4,55.7,67.2,61.4,51.8,70.2
19-20,All 4-year institutions (cohort year 2014)2,Private nonprofit,Women,69.9,48.1,82.6,49.9,65.5,59.8,73.3,67,57.4,80.1
19-20,All 4-year institutions (cohort year 2014)2,Private for-profit,Total,36.1,36.1,59.7,24,48.5,34.4,38.4,35.5,22.3,64.3
19-20,All 4-year institutions (cohort year 2014)2,Private for-profit,Men,35.30000000000001,32.5,53.6,22.9,46.2,37.2,39.6,36.1,21,58
19-20,All 4-year institutions (cohort year 2014)2,Private for-profit,Women,36.6,38.4,64.1,24.7,50,32.80000000000001,37.5,35.1,23.4,70.2
19-20,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2014),Total,Total,64,41.5,77,45,58.7,52.3,67.4,59.5,54.2,72.1
19-20,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2014),Total,Men,60.5,38.2,73.7,38.6,54,48.7,64.1,55.8,51,67.2
19-20,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2014),Total,Women,67,43.9,79.9,49.7,62.2,55.3,70.2,62.3,57.1,78.1
19-20,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2014),Public,Total,63.1,39.4,75.3,45.7,57.6,51.8,66.2,57.3,62.2,70.2
19-20,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2014),Public,Men,59.7,36.5,71.8,39.4,52.4,47.6,63,53.8,58.6,65.7
19-20,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2014),Public,Women,66,41.6,78.7,50.1,61.5,55.6,68.9,60.1,65.8,76.7
19-20,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2014),Private nonprofit,Total,68,49.6,81.7,46.5,64,59.5,71.3,66.2,56.2,75
19-20,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2014),Private nonprofit,Men,64.1,45,80.1,39.6,60.5,56.6,67.7,62.5,52.4,70.2
19-20,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2014),Private nonprofit,Women,71.2,53.2,82.9,52.3,66.5,61.7,74.1,68.8,59.3,80.2
19-20,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2014),Private for-profit,Total,29,21.3,52.7,19.7,35.9,18.6,31.3,31.1,16.8,61.4
19-20,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2014),Private for-profit,Men,30.5,20.2,47.3,19.8,37,20,35,33.30000000000001,18.7,52
19-20,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2014),Private for-profit,Women,27.5,22.3,58.3,19.6,34.6,17.5,27.5,29,14.8,69.9
19-20,Total 2-year institutions (cohort year 2017),Total,Total,35.9,36.5,44.3,28,34.30000000000001,35.6,38.80000000000001,30.6,38.7,40.30000000000001
19-20,Total 2-year institutions (cohort year 2017),Total,Men,34.2,35.80000000000001,39.80000000000001,25.7,30.8,31.9,38.30000000000001,28.9,33.9,37.30000000000001
