Year,Level of award,Gender,All students,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian or Other Pacific Islander,White,Two or more races,Race/ethnicity unknown,Nonresident
21-22,Postbaccalaureate certificates,All students,64790,274,3828,7194,6443,100,36106,1831,4462,4552
21-22,Postbaccalaureate certificates,Men,22536,104,1417,2145,2063,41,12318,598,1739,2111
21-22,Postbaccalaureate certificates,Women,42254,170,2411,5049,4380,59,23788,1233,2723,2441
21-22,Master's degrees,All students,880338,3469,58394,92710,95006,1607,441545,23428,47958,116221
21-22,Master's degrees,Men,328901,1090,23752,27480,31387,562,157150,8242,17596,61642
21-22,Master's degrees,Women,551437,2379,34642,65230,63619,1045,284395,15186,30362,54579
21-22,Post-master's certificates,All students,26009,100,1237,3821,2026,21,14794,602,1749,1659
21-22,Post-master's certificates,Men,6930,21,366,703,500,4,3963,141,463,769
21-22,Post-master's certificates,Women,19079,79,871,3118,1526,17,10831,461,1286,890
21-22,Doctor's degrees- research/scholarship,All students,79293,234,4340,7630,5146,80,33773,1808,4287,21995
21-22,Doctor's degrees- research/scholarship,Men,37675,87,1977,2378,2096,32,14810,782,1837,13676
21-22,Doctor's degrees- research/scholarship,Women,41618,147,2363,5252,3050,48,18963,1026,2450,8319
21-22,Doctor's degrees- professional practice,All students,122185,439,16783,9034,11363,177,71153,4008,5987,3241
21-22,Doctor's degrees- professional practice,Men,49297,170,6827,2838,4556,73,29434,1589,2519,1291
21-22,Doctor's degrees- professional practice,Women,72888,269,9956,6196,6807,104,41719,2419,3468,1950
21-22,Doctor's degrees-other,All students,2422,11,187,573,159,5,1215,51,120,101
21-22,Doctor's degrees-other,Men,809,3,64,197,54,0,388,14,48,41
21-22,Doctor's degrees-other,Women,1613,8,123,376,105,5,827,37,72,60
22-23,Total awards,All students,5218948,31076,359202,581014,952279,11301,2572193,189859,205554,316470
22-23,Total awards,Women,3106860,19777,206201,387568,592926,6722,1512337,115208,120151,145970
22-23,Total awards,Men,2112088,11299,153001,193446,359353,4579,1059856,74651,85403,170500
22-23,Less-than-12-weeks,All students,102117,873,3490,14171,19391,244,55426,3505,4203,814
22-23,Less-than-12-weeks,Women,61092,530,2282,8883,12691,141,31614,2190,2146,615
22-23,Less-than-12-weeks,Men,41025,343,1208,5288,6700,103,23812,1315,2057,199
22-23,At-least-12-weeks but less-than-1-year,All students,501776,4698,22978,77919,122495,1286,230949,16964,17769,6718
22-23,At-least-12-weeks but less-than-1-year,Women,272885,2692,13750,47970,69129,768,115421,9776,9795,3584
22-23,At-least-12-weeks but less-than-1-year,Men,228891,2006,9228,29949,53366,518,115528,7188,7974,3134
22-23,At-least-1- but less- than-2-years,All students,436078,5098,19430,68681,114554,1388,183458,15797,23732,3940
22-23,At-least-1- but less- than-2-years,Women,267107,3080,11414,47521,70653,829,107644,9700,14069,2197
22-23,At-least-1- but less- than-2-years,Men,168971,2018,8016,21160,43901,559,75814,6097,9663,1743
22-23,Associate's degrees,All students,959439,7462,58433,112932,247734,2650,442644,38593,32394,16597
22-23,Associate's degrees,Women,596140,5001,33700,78038,157638,1600,267727,23698,19308,9430
22-23,Associate's degrees,Men,363299,2461,24733,34894,90096,1050,174917,14895,13086,7167
22-23,At-least-2- but less- than-4-years,All students,23072,159,1152,2883,5045,100,11416,912,1119,286
22-23,At-least-2- but less- than-4-years,Women,9030,62,601,1178,1820,36,4419,337,419,158
22-23,At-least-2- but less- than-4-years,Men,14042,97,551,1705,3225,64,6997,575,700,128
22-23,Bachelor's degrees,All students,1965817,8352,164135,185281,318099,3722,1055605,80242,62835,87546
22-23,Bachelor's degrees,Women,1148720,5428,90636,120099,198303,2165,607455,47708,35730,41196
22-23,Bachelor's degrees,Men,817097,2924,73499,65182,119796,1557,448150,32534,27105,46350
22-23,Postbaccalaureate certificates,All students,66808,308,3664,7548,6430,89,36393,2005,4055,6316
22-23,Postbaccalaureate certificates,Women,42509,204,2315,5220,4252,55,23787,1294,2219,3163
22-23,Postbaccalaureate certificates,Men,24299,104,1349,2328,2178,34,12606,711,1836,3153
22-23,Master's degrees,All students,933204,3395,62580,90524,98836,1552,436544,24969,47301,167503
22-23,Master's degrees,Women,571833,2311,37378,63653,66232,970,281573,16179,29108,74429
22-23,Master's degrees,Men,361371,1084,25202,26871,32604,582,154971,8790,18193,93074
22-23,Post-master's certificates,All students,25404,73,1342,3558,2243,22,14116,637,1628,1785
22-23,Post-master's certificates,Women,18545,56,975,2862,1643,15,10316,492,1209,977
22-23,Post-master's certificates,Men,6859,17,367,696,600,7,3800,145,419,808
22-23,Doctor's degrees- research/scholarship,All students,81411,268,4809,7991,5426,91,34575,1985,4379,21887
22-23,Doctor's degrees- research/scholarship,Women,43673,180,2675,5531,3262,59,19835,1207,2526,8398
22-23,Doctor's degrees- research/scholarship,Men,37738,88,2134,2460,2164,32,14740,778,1853,13489
22-23,Doctor's degrees- professional practice,All students,121565,383,17024,9056,11897,150,69930,4191,6022,2912
22-23,Doctor's degrees- professional practice,Women,73820,227,10368,6293,7219,82,41768,2586,3554,1723
22-23,Doctor's degrees- professional practice,Men,47745,156,6656,2763,4678,68,28162,1605,2468,1189
22-23,Doctor's degrees-other,All students,2257,7,165,470,129,7,1137,59,117,166
22-23,Doctor's degrees-other,Women,1506,6,107,320,84,2,778,41,68,100
22-23,Doctor's degrees-other,Men,751,1,58,150,45,5,359,18,49,66
23-24,Total awards,All students,5367633,32838,370018,601627,1025238,11432,2579092,201251,205100,341037
23-24,Total awards,Men,2193492,12156,159458,201784,395143,4585,1067863,80264,87442,184797
23-24,Total awards,Women,3174141,20682,210560,399843,630095,6847,1511229,120987,117658,156240
23-24,Less-than-12-weeks,All students,111929,1066,3977,16070,21945,314,59290,4110,4223,934
23-24,Less-than-12-weeks,Men,42271,426,1239,5308,7061,106,24617,1443,1843,228
23-24,Less-than-12-weeks,Women,69658,640,2738,10762,14884,208,34673,2667,2380,706
23-24,At-least-12-weeks but less-than-1-year,All students,572608,5274,24714,86257,150601,1495,254717,20354,21166,8030
23-24,At-least-12-weeks but less-than-1-year,Men,267618,2400,10520,34495,69144,644,127839,8981,9887,3708
23-24,At-least-12-weeks but less-than-1-year,Women,304990,2874,14194,51762,81457,851,126878,11373,11279,4322
23-24,At-least-1- but less- than-2-years,All students,482180,5653,20600,74392,129599,1434,200802,17774,27305,4621
23-24,At-least-1- but less- than-2-years,Men,193426,2384,8644,23494,51890,569,84772,7225,12378,2070
23-24,At-least-1- but less- than-2-years,Women,288754,3269,11956,50898,77709,865,116030,10549,14927,2551
23-24,Associate's degrees,All students,982100,8158,60330,115025,261493,2606,442804,40538,33275,17871
23-24,Associate's degrees,Men,377890,2662,26122,35599,96617,1054,178038,16028,13941,7829
23-24,Associate's degrees,Women,604210,5496,34208,79426,164876,1552,264766,24510,19334,10042
23-24,At-least-2- but less- than-4-years,All students,21802,137,1210,3073,5084,108,9984,927,977,302
23-24,At-least-2- but less- than-4-years,Men,12504,75,551,1734,3207,63,5658,554,517,145
23-24,At-least-2- but less- than-4-years,Women,9298,62,659,1339,1877,45,4326,373,460,157
23-24,Bachelor's degrees,All students,1955077,8100,169018,185950,327603,3536,1036921,82870,60489,80590
23-24,Bachelor's degrees,Men,814844,2813,76337,65353,123889,1454,442136,33926,26560,42376
23-24,Bachelor's degrees,Women,1140233,5287,92681,120597,203714,2082,594785,48944,33929,38214
23-24,Postbaccalaureate certificates,All students,71414,303,3865,8055,7237,78,37877,2183,4131,7685
23-24,Postbaccalaureate certificates,Men,25992,94,1442,2483,2473,35,13032,725,1822,3886
23-24,Postbaccalaureate certificates,Women,45422,209,2423,5572,4764,43,24845,1458,2309,3799
23-24,Master's degrees,All students,932781,3417,62074,89672,99995,1534,414829,25260,41831,194169
23-24,Master's degrees,Men,364909,1051,25204,26715,32670,529,144817,8774,15972,109177
23-24,Master's degrees,Women,567872,2366,36870,62957,67325,1005,270012,16486,25859,84992
23-24,Post-master's certificates,All students,24178,63,1361,3418,2317,23,13337,572,1411,1676
23-24,Post-master's certificates,Men,6585,14,392,633,633,9,3678,128,337,761
23-24,Post-master's certificates,Women,17593,49,969,2785,1684,14,9659,444,1074,915
23-24,Doctor's degrees- research/scholarship,All students,84283,262,5129,9111,6072,105,35506,2127,4141,21830
23-24,Doctor's degrees- research/scholarship,Men,38176,87,2228,2814,2356,37,14885,803,1697,13269
23-24,Doctor's degrees- research/scholarship,Women,46107,175,2901,6297,3716,68,20621,1324,2444,8561
23-24,Doctor's degrees- professional practice,All students,126714,388,17524,9881,13095,190,71915,4463,6067,3191
23-24,Doctor's degrees- professional practice,Men,48412,142,6715,2900,5145,82,28032,1656,2455,1285
23-24,Doctor's degrees- professional practice,Women,78302,246,10809,6981,7950,108,43883,2807,3612,1906
23-24,Doctor's degrees-other,All students,2567,17,216,723,197,9,1110,73,84,138
23-24,Doctor's degrees-other,Men,865,8,64,256,58,3,359,21,33,63
23-24,Doctor's degrees-other,Women,1702,9,152,467,139,6,751,52,51,75
